time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
103,22,105472,4778,-0.021377211436629295,0.2,408,-1.515479251742363,-0.00183433061465621,0.0003,0.0,0.0016540578,0.7477142810821533,0.00032447951980429934,247.34,0.25694445
104,22,106496,4783,-0.01759016327559948,0.2,412,-1.5680362433195114,-0.002975419833092019,0.0003,0.017333984375,0.008811202,0.7444212436676025,0.0009221839391102549,249.44,0.25111111
105,22,107520,4786,-0.018431272357702255,0.2,416,-1.6489431858062744,-0.00045167480129748583,0.0003,0.000732421875,0.0028582779,0.3842790722846985,0.0033817141302279197,254.53,0.23497221999999998
106,22,108544,4791,-0.010464925318956375,0.2,420,-1.7096912115812302,-0.0014635070110671222,0.0003,0.025634765625,0.005677958,0.5947239995002747,0.0017395426657458302,253.38,0.23916666
107,22,109568,4794,-0.02759728580713272,0.2,424,-1.7565501257777214,-0.0019045334483962506,0.0003,0.0,0.0025288844,0.798518717288971,0.0007955651562951971,253.47,0.23791667
108,23,110592,4799,-0.01787876896560192,0.2,428,-1.8072773963212967,-0.00019505484669934958,0.0003,0.0,0.0007275905,0.715662956237793,0.003284393038484268,254.67,0.23458332999999995
109,23,111616,4804,-0.03899727389216423,0.2,432,-1.7490844130516052,-0.008248152415035293,0.0003,0.099853515625,0.015540764,0.8695701956748962,0.0005614329766103765,256.97,0.22719445
110,23,112640,4807,-0.028155559673905373,0.2,436,-1.6962646022439003,-0.003152502147713676,0.0003,0.0,0.0033365493,0.6794475317001343,0.0031176850461633876,258.41,0.22319445000000002
111,23,113664,4811,-0.01534121111035347,0.2,440,-1.6274351254105568,-0.0012823277793359011,0.0003,0.010009765625,0.0025657997,0.6623520255088806,0.00123131747750449,258.46,0.22405556000000004
112,23,114688,4814,-0.015787359327077866,0.2,444,-1.6903450265526772,-0.00022737891413271427,0.0003,0.0,0.0013956234,0.630825400352478,0.002525440271710977,257.99,0.22636112000000005
113,24,115712,4818,-0.016300324350595474,0.2,448,-1.7030232772231102,-2.3898996005300432e-05,0.0003,0.0,0.00014999532,0.7273591756820679,0.0025708354733069427,259.6,0.22088890000000003
114,24,116736,4821,-0.02251792885363102,0.2,452,-1.7271107733249664,-0.0015140740433707833,0.0003,0.007080078125,0.0026318487,0.8981959223747253,0.00046046259558352176,261.63,0.21525001
115,24,117760,4825,-0.02827593684196472,0.2,456,-1.754828043282032,-0.0016911459970287979,0.0003,0.0,0.0017659157,0.7875583171844482,0.0010178548363910522,261.63,0.21525001
116,24,118784,4829,-0.022509751841425896,0.2,460,-1.7197387740015984,-0.0018317842041142285,0.0003,0.0,0.0017794967,0.9399577379226685,0.0003738644909390132,264.83,0.20536113
117,24,119808,4832,-0.02102344110608101,0.2,464,-1.6531032919883728,-0.0015022850129753351,0.0003,0.01025390625,0.0038423054,0.8612372279167175,0.0008928845018090215,267.79,0.1951389
118,24,120832,4834,-0.015169712714850903,0.2,468,-1.5843648836016655,-0.001403574802679941,0.0003,0.0,0.0017105669,0.949802815914154,0.0001805460874493292,265.01,0.20386112
119,25,121856,4838,-0.01867443323135376,0.2,472,-1.5458589866757393,-0.0008372812008019537,0.0003,0.0,0.0018977715,0.35838115215301514,0.0035416090104263276,266.13,0.19875001999999997
120,25,122880,4841,-0.017907027155160904,0.2,476,-1.498665377497673,-0.0021812744380440563,0.0003,0.0,0.003777615,0.49072617292404175,0.0082170889218105,268.35,0.19158334999999999
