rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate
17.7,0.8406999999999999,19,4556,87,89088,0.0415729284286499,-0.0087761040776968,-0.6757653579115868,0.0076875165,0.2,0.09814453125,344,-0.0038517385837621987,0.01645697111962363,0.0003
16.88,0.8470799999999998,20,4473,88,90112,0.037968575954437256,-0.0015068259090185165,-0.6579845584928989,0.0007000313,0.2,0.0,348,-0.0011175799882039428,0.01478456286713481,0.0003
19.48,0.8246799999999999,20,4489,89,91136,0.0874519944190979,-0.0037500555627048016,-0.6446556188166142,0.0021511365,0.2,0.000244140625,352,-0.0011466128344181925,0.011392374755814672,0.0003
19.63,0.82333,20,4505,90,92160,0.02073734998703003,-0.020576784387230873,-0.6369584687054157,0.007844515,0.2,0.048583984375,356,-0.0017260930908378214,0.01342952746199444,0.0003
18.33,0.8350299999999998,20,4521,91,93184,0.12298053503036499,-0.004871228244155645,-0.6417217403650284,0.0056384024,0.2,0.0869140625,360,-0.004227569414069876,0.008718233380932361,0.0003
17.79,0.8388900000000001,20,4537,92,94208,0.19673269987106323,-0.011492733843624592,-0.6440603956580162,0.005072644,0.2,0.109619140625,364,-0.006052865443052724,0.009655893547460437,0.0003
20.54,0.81314,20,4553,93,95232,0.15643084049224854,-0.007165266200900078,-0.6558649577200413,0.0019887001,0.2,0.0,368,-0.0014033071929588914,0.010895661369431764,0.0003
23.92,0.7827200000000001,21,4568,94,96256,0.0010898709297180176,0.006201181095093489,-0.62497304007411,0.0024781371,0.2,0.001708984375,372,-0.0005887687439098954,0.01922025391831994,0.0003
20.99,0.8110899999999998,21,4583,95,97280,0.006923019886016846,-0.0032760812900960445,-0.6364767551422119,0.00046848104,0.2,0.0,376,-0.00046915705024730414,0.013263759203255177,0.0003
19.55,0.82305,21,4508,96,98304,0.06090414524078369,-0.0006582895293831825,-0.6246264427900314,7.10279e-05,0.2,0.0,380,-0.00025023450143635273,0.01451724476646632,0.0003
16.7,0.8486999999999999,21,4523,97,99328,0.06336104869842529,-0.0006216559559106827,-0.660245019942522,0.0056967856,0.2,0.01318359375,384,-0.0011489490570966154,0.014615357562433928,0.0003
19.46,0.8238599999999999,22,4538,98,100352,0.0021904706954956055,-0.0031308368779718876,-0.6414960138499737,0.004494249,0.2,0.00341796875,388,-0.0019445053476374596,0.014278709248173982,0.0003
21.2,0.8092,22,4552,99,101376,-0.08460855484008789,-0.00524974474683404,-0.6294086165726185,0.0039137937,0.2,0.0009765625,392,-0.001235619289218448,0.009680224466137588,0.0003
19.79,0.8208900000000001,22,4565,100,102400,0.10837924480438232,-0.016416121274232864,-0.6755084432661533,0.0139545575,0.2,0.1181640625,396,-0.003913281601853669,0.011070736742112786,0.0003
19.64,0.8222400000000001,22,4579,101,103424,0.1203654408454895,-0.006183359306305647,-0.6440705470740795,0.0055833887,0.2,0.01123046875,400,-0.00093695821124129,0.013850304065272212,0.0003
18.41,0.83431,22,4592,102,104448,0.10826635360717773,0.004999748431146145,-0.6506884880363941,0.01074003,0.2,0.0830078125,404,-0.0029766069492325187,0.00811666582012549,0.0003
18.96,0.8293599999999999,22,4606,103,105472,0.12249314785003662,0.004979114048182964,-0.6392193585634232,0.005569131,0.2,0.017578125,408,-0.00033365064882673323,0.012023697956465185,0.0003
17.97,0.83827,23,4533,104,106496,0.06694310903549194,-0.0075738993473351,-0.5902424640953541,0.004060932,0.2,0.018310546875,412,-0.00126942343194969,0.01708145102020353,0.0003
15.87,0.85717,23,4546,105,107520,0.1532970666885376,-0.0034225666895508766,-0.6168273314833641,0.0008857258,0.2,0.0,416,-0.0005168279458303005,0.011214448371902108,0.0003
15.41,0.8613099999999999,23,4559,106,108544,0.02446115016937256,-0.00677337683737278,-0.602477416396141,0.00626715,0.2,0.098388671875,420,-0.00535307549580466,0.01446247985586524,0.0003
