time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/clip_range
135168,31,16.98,4313,132,0.84718,0.1536252498626709,-0.6140591725707054,0.014342293026857078,-0.000975055416347459,0.0003,524,-0.003310312982648611,0.00390625,0.005660588,0.2
136192,31,17.94,4324,133,0.8375399999999997,0.1672239899635315,-0.5539079830050468,0.01276221708394587,-0.0020975855586584657,0.0003,528,-0.0019888305105268955,0.05126953125,0.0064965994,0.2
137216,31,18.64,4335,134,0.8322399999999999,0.246590256690979,-0.5515723749995232,0.010876984859351069,-0.0021180240146350116,0.0003,532,-0.0036141122691333294,0.052490234375,0.0039395173,0.2
138240,31,17.4,4345,135,0.8433999999999999,0.2065632939338684,-0.6058190725743771,0.012662514869589359,-0.0014347592659760267,0.0003,536,0.0007634209468960762,0.001220703125,0.0029900013,0.2
139264,32,19.35,4282,136,0.82585,0.11852407455444336,-0.6217053234577179,0.017933392082341015,-0.0006053926481399685,0.0003,540,-0.0018456559628248215,0.0,0.001482324,0.2
140288,32,18.37,4292,137,0.8346699999999998,0.15680581331253052,-0.5625528581440449,0.01059975306270644,-0.00038450901047326624,0.0003,544,0.002993166446685791,0.02490234375,0.007141456,0.2
141312,32,17.79,4303,138,0.8398899999999999,0.18549299240112305,-0.5866966582834721,0.010782316327095032,-0.0047449344710912555,0.0003,548,-0.011783167719841003,0.10546875,0.0076038917,0.2
142336,32,20.02,4313,139,0.81982,0.22684192657470703,-0.562948614358902,0.00943702197400853,0.0002712618006626144,0.0003,552,-0.00113395182415843,0.0,0.00029500044,0.2
143360,33,20.38,4323,140,0.81658,0.12498575448989868,-0.6250686421990395,0.013231046264991164,-0.001483135696616955,0.0003,556,-0.005656826309859753,0.02880859375,0.0052675116,0.2
144384,33,18.95,4334,141,0.8294499999999999,0.1325034499168396,-0.6236159428954124,0.016627482895273715,-0.0025629267911426723,0.0003,560,-0.0058990297839045525,0.052978515625,0.008489454,0.2
145408,33,17.9,4344,142,0.8378999999999998,0.20979923009872437,-0.6617852449417114,0.01626035280060023,-0.0004715127724921331,0.0003,564,-0.0015340065583586693,0.0,0.00023654097,0.2
146432,33,17.46,4353,143,0.8418599999999999,0.2549054026603699,-0.6404258757829666,0.013568471651524305,-0.0014137482939986512,0.0003,568,-0.018471546471118927,0.010009765625,0.005985559,0.2
